route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,exceptional
016F,0#1,0#526-10,"TORCEGNO/CASTEL PORZIANO","24865582",0,"",63044,0,0
016F,0#1,0#526-11,"MONTI S. PAOLO/CONFORTI","24865583",1,"",63045,0,0
016F,0#1,0#526-12,"TORCEGNO/CASTEL PORZIANO","24865584",0,"",63044,0,0
016F,0#1,0#526-13,"MONTI S. PAOLO/CONFORTI","24865585",1,"",63045,0,0
016F,0#1,0#526-14,"TORCEGNO/CASTEL PORZIANO","24865586",0,"",63044,0,0
016F,0#1,0#526-15,"MONTI S. PAOLO/CONFORTI","24865587",1,"",63045,0,0
016F,0#1,0#526-16,"TORCEGNO/CASTEL PORZIANO","24865588",0,"",63044,0,0
016F,0#1,0#526-17,"MONTI S. PAOLO/CONFORTI","24865589",1,"",63045,0,0
016F,0#1,0#526-18,"TORCEGNO/CASTEL PORZIANO","24865590",0,"",63044,0,0
016F,0#1,0#526-19,"MONTI S. PAOLO/CONFORTI","24865591",1,"",63045,0,0
016F,0#1,0#526-20,"TORCEGNO/CASTEL PORZIANO","24865592",0,"",63044,0,0
016F,0#1,0#526-21,"MONTI S. PAOLO/CONFORTI","24865593",1,"",63045,0,0
016F,0#1,0#526-22,"TORCEGNO/CASTEL PORZIANO","24865594",0,"",63044,0,0
016F,0#1,0#526-23,"MONTI S. PAOLO/CONFORTI","24865595",1,"",63045,0,0
016F,0#1,0#526-24,"TORCEGNO/CASTEL PORZIANO","24865596",0,"",63044,0,0
016F,0#1,0#526-25,"MONTI S. PAOLO/CONFORTI","24865597",1,"",63045,0,0
016F,0#1,0#526-26,"TORCEGNO/CASTEL PORZIANO","24865598",0,"",63044,0,0
016,0#15,0#527-2,"ANTIFANE/ISOLA 46","24254392",0,"",700589,0,0
016,0#15,0#527-3,"MONTI S. PAOLO/CONFORTI","24254384",1,"",63043,0,0
016,0#15,0#527-4,"ANTIFANE/ISOLA 46","24254377",0,"",63042,0,0
016,0#15,0#527-5,"MONTI S. PAOLO/CONFORTI","24254385",1,"",63043,0,0
016,0#15,0#527-6,"ANTIFANE/ISOLA 46","24254378",0,"",63042,0,0
016,0#15,0#527-7,"MONTI S. PAOLO/CONFORTI","24254386",1,"",63043,0,0
016,0#15,0#527-8,"ANTIFANE/ISOLA 46","24254379",0,"",63042,0,0
016,0#15,0#527-9,"MONTI S. PAOLO/CONFORTI","24254387",1,"",63043,0,0
016,0#15,0#527-10,"ANTIFANE/ISOLA 46","24254380",0,"",63042,0,0
016,0#15,0#527-11,"MONTI S. PAOLO/CONFORTI","24254388",1,"",63043,0,0
016,0#15,0#527-12,"ANTIFANE/ISOLA 46","24254381",0,"",63042,0,0
016,0#15,0#527-13,"MONTI S. PAOLO/CONFORTI","24254389",1,"",63043,0,0
016,0#15,0#527-14,"ANTIFANE/ISOLA 46","24254382",0,"",63042,0,0
016,0#15,0#527-15,"MONTI S. PAOLO/CONFORTI","24254390",1,"",63043,0,0
016,0#15,0#527-16,"ANTIFANE/ISOLA 46","24254383",0,"",63042,0,0
016,0#15,0#527-17,"MONTI S. PAOLO/CONFORTI","24254391",1,"",63043,0,0
016,0#20,0#528-2,"ANTIFANE/ISOLA 46","24254542",0,"",700589,0,0
016,0#20,0#528-3,"MONTI S. PAOLO/CONFORTI","24254534",1,"",63043,0,0
016,0#20,0#528-4,"ANTIFANE/ISOLA 46","24254527",0,"",63042,0,0
016,0#20,0#528-5,"MONTI S. PAOLO/CONFORTI","24254535",1,"",63043,0,0
016,0#20,0#528-6,"ANTIFANE/ISOLA 46","24254528",0,"",63042,0,0
016,0#20,0#528-7,"MONTI S. PAOLO/CONFORTI","24254536",1,"",63043,0,0
016,0#20,0#528-8,"ANTIFANE/ISOLA 46","24254529",0,"",63042,0,0
016,0#20,0#528-9,"MONTI S. PAOLO/CONFORTI","24254537",1,"",63043,0,0
016,0#20,0#528-10,"ANTIFANE/ISOLA 46","24254530",0,"",63042,0,0
016,0#20,0#528-11,"MONTI S. PAOLO/CONFORTI","24254538",1,"",63043,0,0
016,0#20,0#528-12,"ANTIFANE/ISOLA 46","24254531",0,"",63042,0,0
